sp_type,wc_ratio,silica_fume,optimal_dosage,min_flow_time
PCE,0.35,0.0,0.3,7.0
PCE,0.4,0.0,0.35,5.0
PCE,0.45,0.0,0.2,4.5
PCE,0.35,5.0,0.45,8.0
PCE,0.4,5.0,0.35,6.0
PCE,0.45,5.0,0.3,5.0
PCE,0.35,10.0,0.35,10.0
PCE,0.4,10.0,0.35,6.0
PCE,0.45,10.0,0.35,5.0
PCE,0.35,15.0,0.5,10.0
PCE,0.4,15.0,0.45,10.0
PCE,0.45,15.0,0.4,8.0
SNF,0.35,0.0,0.5,8.0
SNF,0.4,0.0,0.4,7.0
SNF,0.45,0.0,0.35,5.0
SNF,0.35,5.0,0.5,9.0
SNF,0.4,5.0,0.45,8.0
SNF,0.45,5.0,0.4,6.0
SNF,0.35,10.0,0.55,12.0
SNF,0.4,10.0,0.45,12.5
SNF,0.45,10.0,0.4,6.0
SNF,0.35,15.0,0.65,8.0
SNF,0.4,15.0,0.65,5.0
SNF,0.45,15.0,0.55,5.5
